jobId,4x4,enqueued_time,started_working_time,finished_time
71ff4a7a-a7d4-49e6-a21f-63bec2704b1a,5k2z-suxx,2016-03-28T18:46:31.223-07:00,2016-03-28T18:46:31.737-07:00,2016-03-28T18:46:33.682-07:00
94f59337-6480-4899-aee7-5a3b84ebb83c,5d79-9xqr,2016-04-04T02:22:23.785-07:00,2016-04-04T02:22:24.107-07:00,2016-04-04T02:22:25.405-07:00
024c8b20-f458-4b1a-91a0-2406d2656dda,t2qc-9pjd,2016-04-21T02:33:28.480-07:00,2016-04-21T02:33:28.788-07:00,2016-04-21T02:33:30.836-07:00
96156383-59c8-4e3a-a709-51074493e26b,5k2z-suxx,2016-04-09T16:01:23.762-07:00,2016-04-09T16:01:24.017-07:00,2016-04-09T16:01:25.010-07:00
758fceac-1dd4-4d00-96b9-8c80d4a06d32,t2qc-9pjd,2016-03-30T14:48:26.776-07:00,2016-03-30T14:48:27.208-07:00,2016-03-30T14:48:29.268-07:00
9e749e72-404c-4e36-94ac-e2d7d8d39157,n4j6-wkkf,2016-04-18T06:33:26.622-07:00,2016-04-18T06:33:26.933-07:00,2016-04-18T06:33:29.388-07:00
4f358a5f-6647-483f-9e31-9ed0e1f875fe,g8p5-y4m5,2016-03-31T02:17:25.944-07:00,2016-03-31T02:17:26.288-07:00,2016-03-31T02:17:29.768-07:00
bed605d8-9698-46eb-9df1-8df72b0412d8,n4j6-wkkf,2016-03-30T02:18:29.578-07:00,2016-03-30T02:18:30.019-07:00,2016-03-30T02:18:32.761-07:00
26524a8b-f030-4607-96fa-4dd59268deae,t2qc-9pjd,2016-04-19T18:18:25.262-07:00,2016-04-19T18:18:25.579-07:00,2016-04-19T18:18:27.407-07:00
07cc7cf8-bcbe-4fb3-869c-2e151da28d33,ygr5-vcbg,2016-04-13T06:46:29.420-07:00,2016-04-13T06:46:29.726-07:00,2016-04-13T06:46:31.323-07:00
5c23a6c4-0a85-45b8-978a-14f51fb7ae82,ezma-pppn,2016-04-21T02:55:23.672-07:00,2016-04-21T02:55:23.956-07:00,2016-04-21T02:57:29.513-07:00
095f7812-d489-4e16-ae55-5f64f15d12c0,n4j6-wkkf,2016-04-02T01:18:27.366-07:00,2016-04-02T01:18:27.735-07:00,2016-04-02T01:18:29.755-07:00
9f7d926c-6e54-4779-9696-9fdbeebea64c,ygr5-vcbg,2016-04-19T09:31:30.267-07:00,2016-04-19T09:31:30.586-07:00,2016-04-19T09:31:32.183-07:00
38e94af2-cddc-4660-aba4-dbff8d686e71,ygr5-vcbg,2016-04-03T03:31:28.731-07:00,2016-04-03T03:31:29.120-07:00,2016-04-03T03:31:30.414-07:00
a2c15363-497d-4392-92af-ea83ba3b45f6,5k2z-suxx,2016-04-13T05:46:27.069-07:00,2016-04-13T05:46:27.359-07:00,2016-04-13T05:46:28.538-07:00
b540d08c-c3e2-448d-989c-16ed23fa79d6,n4j6-wkkf,2016-04-07T20:48:27.842-07:00,2016-04-07T20:48:28.245-07:00,2016-04-07T20:48:30.396-07:00
a7b4e5bb-b1f5-432d-8c92-5e61cb55fced,t2qc-9pjd,2016-04-14T03:18:27.527-07:00,2016-04-14T03:18:27.902-07:00,2016-04-14T03:18:29.610-07:00
f0366d16-b6b4-48b1-8c43-1789ab8f59fc,ygr5-vcbg,2016-04-20T19:31:28.687-07:00,2016-04-20T19:31:29.127-07:00,2016-04-20T19:31:30.790-07:00
ee95fdc9-7fdd-49ef-b540-2b5903b520f4,t2qc-9pjd,2016-04-25T18:33:27.782-07:00,2016-04-25T18:33:28.067-07:00,2016-04-25T18:33:29.802-07:00
6b152f11-3a2c-4e68-8dc7-177f23c39d08,n4j6-wkkf,2016-04-20T14:33:27.948-07:00,2016-04-20T14:33:28.260-07:00,2016-04-20T14:33:30.501-07:00
2b4c8711-f079-4a48-bea3-3fd56d070251,97wa-y6ff,2016-03-29T05:31:42.627-07:00,2016-03-29T05:31:43.609-07:00,2016-03-29T05:31:48.925-07:00
80d8b5a3-b36a-42e4-9c65-4d3559bb57d1,t2qc-9pjd,2016-03-30T03:03:27.970-07:00,2016-03-30T03:03:28.542-07:00,2016-03-30T03:03:30.477-07:00
321aac76-5bc7-4b9b-8779-9cee124ac85c,eqdx-4qxd,2016-04-25T02:24:24.664-07:00,2016-04-25T02:24:27.251-07:00,2016-04-25T02:24:28.427-07:00
